"job_id","company_id","job_title_short","job_title","job_location","job_via","job_schedule_type","job_work_from_home","search_location","job_posted_date","job_no_degree_mention","job_health_insurance","job_country","salary_rate","salary_year_avg","salary_hour_avg","company_id (1)","name","link","link_google","thumbnail"
27020,14199,"Data Analyst","Data Analyst","Anywhere","via Y Combinator","Full-time",1,"India","2023-02-21",1,"","India","year","650000","",14199,"Mantys","","https://www.google.com/search?hl=en&gl=us&q=Mantys&sa=X&ved=0ahUKEwi__O70-qX9AhU2E1kFHROLCVEQmJACCPMK","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgCz1no9RUCS39NC0nSHt7--cDS88GabVebRy4SHc&s"
74347,21,"Data Analyst","Director of Analytics"," Anywhere ","via LinkedIn","Full-time",1,"Texas, United States","2023-08-24",1,"","United States","year","336500","",21,"Meta","https://www.meta.com/","https://www.google.com/search?sca_esv=590391945&hl=en&gl=us&q=Meta&sa=X&ved=0ahUKEwjzoeXz4YuDAxUYkYkEHR9xCig4MhCYkAII3A0","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGWd4ZbDsuXA2YQ7fwMam4nW4cokBZJJYHlWXaRfs&s"
12909,88,"Data Analyst","Associate Director- Data Insights"," Anywhere ","via ZipRecruiter","Full-time",1,"Texas, United States","2023-06-19","",1,"United States","year","255829.5","",88,"AT&T","https://www.att.com/","https://www.google.com/search?sca_esv=573962864&hl=en&gl=us&q=AT%26T&sa=X&ved=0ahUKEwiAybDYufyBAxXlF1kFHZuhDaE4RhCYkAIIxQk","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm2JE9sOm6fGf61moF_riVcXO6zIgL_2xBhkigyhlqI6tqYl3QuLrf&s"
42796,19202,"Data Analyst","Data Analyst, Marketing"," Anywhere ","via Indeed","Full-time",1,"California, United States","2023-12-06","","","United States","year","232423","",19202,"Pinterest Job Advertisements","","https://www.google.com/search?sca_esv=588279375&hl=en&gl=us&q=Pinterest+Job+Advertisements&sa=X&ved=0ahUKEwj2u5yRkfqCAxW5F1kFHYuiA-44ChCYkAII5gs",""
101959,31631,"Data Analyst","Data Analyst (Hybrid/Remote)","Anywhere","via Recruit.net","Full-time",1,"California, United States","2023-01-17","","","United States","year","217000","",31631,"Uclahealthcareers","","https://www.google.com/search?gl=us&hl=en&q=Uclahealthcareers&sa=X&ved=0ahUKEwiquN68-s38AhW0kWoFHZLqBEA4PBCYkAIIww4","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJMMSM3JVIY8PKn3JqstTUcODytm3gCiug77YSW8Y&s"
61924,9458,"Data Analyst","Principal Data Analyst (Remote)"," Anywhere ","via Built In NYC","Full-time",1,"New York, United States","2023-08-10","",1,"United States","year","205000","",9458,"SmartAsset","http://smartasset.com/","https://www.google.com/search?hl=en&gl=us&q=SmartAsset&sa=X&ved=0ahUKEwiYx5zrvoiAAxX4MlkFHXyECfQ4ChCYkAII9ws","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU0oNO_6t0E-cM1sDWuyEW-y0Zm2Y_OpnKVmEk&s=0"
25186,5078,"Data Analyst","Director, Data Analyst - HYBRID"," Anywhere ","via Indeed","Full-time",1,"New York, United States","2023-12-08","","","United States","year","189309","",5078,"Inclusively","","https://www.google.com/search?sca_esv=594166249&gl=us&hl=en&q=Inclusively&sa=X&ved=0ahUKEwjpuMD-wrGDAxXak4kEHZaPAWI4HhCYkAIIiw0","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgB1V5nVjZWXDFa298fbK23qjXU7aM0AdYopktd4k&s"
47609,2815,"Data Analyst","Principal Data Analyst, AV Performance Analysis","Anywhere","via LinkedIn","Full-time",1,"New York, United States","2023-01-05","","","United States","year","189000","",2815,"Motional","","https://www.google.com/search?gl=us&hl=en&q=Motional&sa=X&ved=0ahUKEwjx9JOeprf8AhXSl2oFHRlqBrA4FBCYkAIImgo","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNIwmkQdY5fVgx34X3DfJU2T4Lr6oooah9SkxRvGrAy54JPhn4A9uVXCI&s"
15254,9458,"Data Analyst","Principal Data Analyst"," Anywhere ","via Indeed","Full-time",1,"New York, United States","2023-07-12","",1,"United States","year","186000","",9458,"SmartAsset","http://smartasset.com/","https://www.google.com/search?hl=en&gl=us&q=SmartAsset&sa=X&ved=0ahUKEwiYx5zrvoiAAxX4MlkFHXyECfQ4ChCYkAII9ws","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU0oNO_6t0E-cM1sDWuyEW-y0Zm2Y_OpnKVmEk&s=0"
24200,930,"Data Analyst","ERM Data Analyst"," Anywhere ","via Get.It","Full-time",1,"California, United States","2023-06-10","",1,"United States","year","184000","",930,"Get It Recruit - Information Technology","","https://www.google.com/search?sca_esv=581639650&gl=us&hl=en&q=Get+It+Recruit+-+Information+Technology&sa=X&ved=0ahUKEwiZufqj5b2CAxWpGlkFHdfwBss4FBCYkAII0Q4","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDk-E5PDi_-kGv6UeWnxBP6XhIlpf2rCwGFdnS11w&s"
